run_id	Step	normalized_mean_absolute_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	0.00007387527633421683
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	0.00007940364857617951
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	0.00008700506998537791
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	0.0001574241190098651
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	0.0001155045076717709
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	0.00011095620560808961
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	0.0001867949378272125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	0.00015446497982229734
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	0.000071803854789986
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	0.00006134902940620455
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	0.00019718676817247113
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	0.00010232407686045748
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	0.0002442569020860581
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	0.0001353942416385992
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	0.0003867904407651323
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	0.0002421564847394067
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	0.00014403836657060073
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	0.0002510930995536214
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	0.000060886603625813585
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	0.00018797719495210205
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	0.00009657627692450144
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	0.00014281951806926777
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	0.00006114123620257951
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	0.00025080205644741256
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	0.00015162507909042156
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	0.00021777915301874636
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	0.00023524782790695876
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	0.00025042396565160864
